id,title,year,director
tt0000235,nn19,20216,pg
tt0094859,Chief Zabu,2016,Neil Cohen
tt0096056,Crime and Punishment,2002,Menahem Golan
tt0100275,The Wandering Soap Opera,2017,Raoul Ruiz
tt0112502,Bigfoot,2017,Mc Jones
tt0112912,Dune 7,2002,Feri Hefti
tt0113506,Justifiable Homicide,2002,Jon Osman
tt0114447,The Silent Force,2001,David H. May
tt0114722,3 noches,2001,Fernando Venturini
tt0115686,Biriken,2008,Junji Sakamoto
tt0116617,Impotent,2001,Anatoly Eyramdzhan
tt0117743,Still Waters Burn,2008,Halfdan Hussey
tt0118141,What Is It?,2005,Crispin Glover
tt0118154,White Hotel,2001,Dianne Griffin
tt0118652,The Attic Expeditions,2001,Jeremy Kasten
tt0120225,Strawberry Estates,2001,Ron Bonk
tt0120607,Between the Sheets,2003,Michael DeLuise
tt0120624,Camarate,2001,Luís Filipe Rocha
tt0120667,Fantastic Four,2005,Tim Story
tt0120679,Frida,2002,Julie Taymor
tt0120681,From Hell,2001,Allen Hughes
tt0121569,Moonlight Blade,2009,Arthur J. Mangano
tt0122247,Serial Killing 4 Dummys,2004,Trace Slobotkin
tt0123581,Burning Down the House,2001,Philippe Mora
tt0124889,Sticks,2001,Brett Mayer
tt0125022,Heartbreakers,2001,David Mirkin
tt0126029,Shrek,2001,Andrew Adamson
tt0126899,Eyes Are Upon You,2001,David A. Goldberg
tt0128216,Flophouse,2002,Chris Claridge
tt0131597,Split,2004,Chaim Bianco
tt0133152,Planet of the Apes,2001,Tim Burton
tt0133957,Mata Hari,2016,David Carradine
tt0135986,Mort,2005,Kyle B. Thompson
tt0135991,Dominator,2003,Tony Luke
tt0136517,Seven Days of Grace,2006,Don E. FauntLeRoy
tt0137204,Joe Finds Grace,2017,Anthony Harrison
tt0138524,Intolerable Cruelty,2003,Ethan Coen
tt0139479,Tangoed Lives,2002,James Beirne
tt0140806,American Reel,2003,Mark Archer
